drugbank_id,drugbank_name,drugbank_inchikey,drugbank_firstblock,atc_codes,n_atc_codes,drugbank_targets,n_drugbank_targets
DB00148,Creatine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00855,Aminolevulinic acid,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB02083,"N,N-dimethylglycine",,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02951,3-Hydroxypyruvic Acid,,,,0,,0
DB02957,Orotidylic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03587,Pyruvaldehyde,,,,0,,0
DB03843,Formaldehyde,,,,0,,0
DB03915,2-Amino-3-Ketobutyric Acid,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04343,Glyoxylic acid,,,,0,,0
DB04522,Dexfosfoserine,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00148,Creatine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00855,Aminolevulinic acid,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB02083,"N,N-dimethylglycine",,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02951,3-Hydroxypyruvic Acid,,,,0,,0
DB02957,Orotidylic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03587,Pyruvaldehyde,,,,0,,0
DB03843,Formaldehyde,,,,0,,0
DB03915,2-Amino-3-Ketobutyric Acid,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04343,Glyoxylic acid,,,,0,,0
DB04522,Dexfosfoserine,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00148,Creatine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00855,Aminolevulinic acid,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB02083,"N,N-dimethylglycine",,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02951,3-Hydroxypyruvic Acid,,,,0,,0
DB02957,Orotidylic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03587,Pyruvaldehyde,,,,0,,0
DB03843,Formaldehyde,,,,0,,0
DB03915,2-Amino-3-Ketobutyric Acid,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04343,Glyoxylic acid,,,,0,,0
DB04522,Dexfosfoserine,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB03915,2-Amino-3-Ketobutyric Acid,SAUCHDKDCUROAO-VKHMYHEASA-N,SAUCHDKDCUROAO,,0,,0
DB03916,4-{2-[4-(2-Aminoethyl)Piperazin-1-Yl]Pyridin-4-Yl}-N-(3-Chloro-4-Methylphenyl)Pyrimidin-2-Amine,RHOOHUMOHVIXEF-UHFFFAOYSA-N,RHOOHUMOHVIXEF,,0,,0
DB03917,N-Ethylretinamide,WKYDOCGICAMTKE-NBIQJRODSA-N,WKYDOCGICAMTKE,,0,,0
DB03918,"6S-5,6,7,8-Tetrahydrobiopterin",FNKQXYHWGSIFBK-ZMIZWQJLSA-N,FNKQXYHWGSIFBK,,0,NOS3,1
DB03919,Ethyl-Carbamic Acid Methyl Ester,AEARPZNULDFPNQ-UHFFFAOYSA-N,AEARPZNULDFPNQ,,0,,0
DB03920,N-Methyl-Alpha-Beta-Dehydroalanine,FLEYLGCAQDCGHN-UHFFFAOYSA-N,FLEYLGCAQDCGHN,,0,,0
DB03921,4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,IBCXZJCWDGCXQT-UHFFFAOYSA-N,IBCXZJCWDGCXQT,,0,TGFBR1,1
DB03923,Feruloyl Coenzyme A,ILSPFIPSQSFPCN-VYBUCKLUSA-N,ILSPFIPSQSFPCN,,0,COMTD1,1
DB03924,"5,8-Di-Amino-1,4-Dihydroxy-Anthraquinone",QVEMRPAUHFWHRV-UHFFFAOYSA-N,QVEMRPAUHFWHRV,,0,CSNK2A1,1
DB03925,Freselestat,HMPQTEPEMQZWQH-QZTJIDSGSA-N,HMPQTEPEMQZWQH,,0,CELA1|ELANE,2
DB03926,"5alpha-androstane-3beta,17alpha-diol",CBMYJHIOYJEBSB-MFXFBURESA-N,CBMYJHIOYJEBSB,,0,,0
DB03927,Glycyl-L-alpha-amino-epsilon-pimelyl-D-alanine,ZMQJQOKNTYQVHO-SFYZADRCSA-N,ZMQJQOKNTYQVHO,,0,,0
DB03928,"Carboxymethylthio-3-(3-Chlorophenyl)-1,2,4-Oxadiazol",BGDMJXZYDKFEGJ-UHFFFAOYSA-N,BGDMJXZYDKFEGJ,,0,CTH,1
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00148,Creatine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00855,Aminolevulinic acid,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB02083,"N,N-dimethylglycine",,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02951,3-Hydroxypyruvic Acid,,,,0,,0
DB02957,Orotidylic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03587,Pyruvaldehyde,,,,0,,0
DB03843,Formaldehyde,,,,0,,0
DB03915,2-Amino-3-Ketobutyric Acid,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04343,Glyoxylic acid,,,,0,,0
DB04522,Dexfosfoserine,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB01211,Clarithromycin,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00778,Roxithromycin,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00798,Gentamicin,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00595,Oxytetracycline,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00759,Tetracycline,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB06696,Arbekacin,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB01321,Josamycin,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00148,Creatine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00855,Aminolevulinic acid,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB02083,"N,N-dimethylglycine",,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02951,3-Hydroxypyruvic Acid,,,,0,,0
DB02957,Orotidylic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03587,Pyruvaldehyde,,,,0,,0
DB03843,Formaldehyde,,,,0,,0
DB03915,2-Amino-3-Ketobutyric Acid,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04343,Glyoxylic acid,,,,0,,0
DB04522,Dexfosfoserine,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00148,Creatine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00855,Aminolevulinic acid,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB02083,"N,N-dimethylglycine",,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02951,3-Hydroxypyruvic Acid,,,,0,,0
DB02957,Orotidylic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03587,Pyruvaldehyde,,,,0,,0
DB03843,Formaldehyde,,,,0,,0
DB03915,2-Amino-3-Ketobutyric Acid,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04343,Glyoxylic acid,,,,0,,0
DB04522,Dexfosfoserine,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00976,Telithromycin,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00479,Amikacin,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00919,Spectinomycin,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00618,Demeclocycline,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00254,Doxycycline,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB01017,Minocycline,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00256,Lymecycline,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB00560,Tigecycline,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02431,Cytidine-5'-Triphosphate,,,,0,,0
DB03685,Uridine monophosphate,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00156,Threonine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB01421,Paromomycin,,,,0,,0
